test,result,time (μs),memory (kb),clauses
1,UNSAT,5812467,18000,423
2,SAT,377307,18000,422
3,SAT,569454,18128,422
4,UNSAT,3549219,18000,423
5,SAT,2907717,18000,422
6,SAT,19640,18000,422
7,SAT,412844,18000,422
8,SAT,1130989,18000,422
9,SAT,17954,18000,422
10,SAT,2618345,18128,422
11,SAT,378865,18128,422
12,SAT,1231068,18000,422
13,SAT,31028,18128,422
14,UNSAT,6113511,18128,423
15,UNSAT,5906056,18128,423
16,SAT,19913,18000,422
17,UNSAT,3867580,18000,423
18,SAT,16536,18128,422
19,SAT,263829,18000,422
20,UNSAT,3502399,18128,423
21,SAT,679889,18128,422
22,SAT,1960931,18000,422
23,SAT,141824,18000,422
24,SAT,2737998,18128,422
25,SAT,24997,18000,422
26,UNSAT,5333133,18000,423
27,SAT,50871,18128,422
28,SAT,960441,18128,422
29,SAT,108136,18000,422
30,SAT,55069,18128,422
31,UNSAT,3222823,18000,423
32,UNSAT,5199339,18128,423
33,SAT,339258,18128,422
34,UNSAT,2279895,18000,423
35,SAT,177497,18000,422
36,SAT,38142,18128,422
37,SAT,23259,18000,422
38,SAT,32871,18128,422
39,SAT,667319,18128,422
40,SAT,165310,18128,422
41,SAT,509507,18000,422
42,SAT,5659153,18000,422
43,SAT,209331,18000,422
44,SAT,30097,18000,422
45,SAT,73696,18000,422
46,UNSAT,4965298,18000,423
47,UNSAT,2805792,18128,423
48,UNSAT,1863300,18000,423
49,SAT,21973,18000,422
50,UNSAT,2879586,18000,423
51,SAT,36229,18000,422
52,SAT,277670,18128,422
53,UNSAT,7361609,18000,423
54,SAT,98668,18000,422
55,SAT,33660,18128,422
56,SAT,26986,18000,422
57,SAT,568639,18128,422
58,SAT,159730,18000,422
59,SAT,212273,18128,422
60,SAT,2650250,18000,422
61,SAT,352320,18128,422
62,SAT,25276,18000,422
63,UNSAT,6537491,18000,423
64,SAT,222704,18000,422
65,SAT,318086,18000,422
66,UNSAT,3526874,18000,423
67,SAT,972778,18000,422
68,SAT,678555,18128,422
69,SAT,59231,18000,422
70,SAT,929436,18000,422
71,SAT,82427,18000,422
72,SAT,802089,18000,422
73,SAT,33149,18000,422
74,SAT,823680,18128,422
75,SAT,111457,18128,422
76,SAT,251676,18128,422
77,UNSAT,5262592,18128,423
78,SAT,67211,18128,422
79,SAT,20200,18000,422
80,SAT,1707371,18128,422
81,UNSAT,7364316,18000,423
82,SAT,33030,18000,422
83,SAT,17910,18128,422
84,SAT,31757,18000,422
85,SAT,246545,18128,422
86,SAT,549864,18128,422
87,SAT,86658,18000,422
88,SAT,371575,18128,422
89,UNSAT,7099231,18128,423
90,SAT,1692532,18128,422
91,SAT,68330,18128,422
92,SAT,176559,18000,422
93,UNSAT,1351772,18000,423
94,SAT,47486,18128,422
95,SAT,47397,18000,422
96,UNSAT,3228220,18000,423
97,SAT,534379,18000,422
98,UNSAT,3668144,18000,423
99,SAT,748515,18000,422
100,SAT,2588938,18128,422
