test,result,time (μs),memory (kb),clauses
1,timeout,60000335,489512,402259
2,timeout,60000209,634676,516128
3,timeout,60000170,270580,254241
4,timeout,60000444,407348,333898
5,timeout,60000182,304680,259583
6,timeout,60000185,492580,428375
7,timeout,60000411,310068,273205
8,timeout,60000210,299444,247084
9,timeout,60000220,470788,414648
10,timeout,60000249,356276,342287
11,timeout,60000129,586088,509434
12,timeout,60000209,404136,384358
13,timeout,60000204,460200,393260
14,timeout,60000232,664324,510269
15,timeout,60000232,606336,569791
16,timeout,60000224,554676,424132
17,timeout,60000594,518660,418624
18,timeout,60000239,283396,252396
19,timeout,60000210,514052,436978
20,timeout,60000295,358324,330780
21,timeout,60000192,346564,327332
22,timeout,60000205,311680,260758
23,timeout,60000218,457344,385385
24,timeout,60000285,572212,521209
25,timeout,60000259,389044,297544
26,timeout,60000414,662660,485372
27,timeout,60000139,503300,381130
28,timeout,60000200,491316,432659
29,timeout,60000207,326016,258653
30,timeout,60000220,441140,379188
31,timeout,60000273,350004,345081
32,timeout,60000232,585092,468481
33,timeout,60000110,260532,259553
34,timeout,60000234,416768,389517
35,timeout,60000215,706484,566887
36,timeout,60000206,618932,546339
37,timeout,60000240,486836,476194
38,timeout,60000191,511172,400955
39,timeout,60000272,641412,513137
40,timeout,60000175,383620,324133
41,timeout,60000227,582836,465886
42,timeout,60000484,541508,465734
43,timeout,60000200,432964,395846
44,timeout,60000420,818564,716615
45,timeout,60000170,520704,466273
46,timeout,60000451,655796,529414
47,timeout,60000222,480048,441914
48,timeout,60000217,350900,331849
49,timeout,60000425,506752,388266
50,timeout,60000222,634164,586808
51,timeout,60000457,566196,494258
52,timeout,60000197,1026740,794551
53,timeout,60000194,665360,504997
54,timeout,60000464,504320,445050
55,timeout,60000280,400196,343346
56,timeout,60000250,809088,670471
57,timeout,60000185,346240,337483
58,timeout,60000170,723176,548787
59,timeout,60000239,507904,437138
60,timeout,60000231,331136,332964
61,timeout,60000192,471040,419349
62,timeout,60000385,424116,341507
63,timeout,60000168,699392,552487
64,timeout,60000202,621876,505020
65,timeout,60000184,552424,467260
66,timeout,60000432,400128,332680
67,timeout,60000601,482308,447048
68,timeout,60000202,743472,625758
69,timeout,60000313,487904,404675
70,timeout,60000191,420608,433734
71,timeout,60000458,661684,511283
72,timeout,60000194,722096,633854
73,timeout,60000187,458932,354382
74,timeout,60000499,515252,445419
75,timeout,60000180,359492,336181
76,timeout,60000467,491956,437304
77,timeout,60000293,629928,562830
78,timeout,60000441,352384,302772
79,timeout,60000472,391860,368276
80,timeout,60000252,639924,557421
81,timeout,60000447,332840,310312
82,timeout,60000207,563252,447734
83,timeout,60000433,530048,464476
84,timeout,60000209,528580,488707
85,timeout,60000237,433204,427543
86,timeout,60000267,567980,492096
87,timeout,60000207,359720,264778
88,timeout,60000294,341940,301611
89,timeout,60000187,715316,521769
90,timeout,60000213,456324,398449
91,timeout,60000247,398004,317568
92,timeout,60000240,616068,525305
93,timeout,60000214,434984,401054
94,timeout,60000186,430848,417061
95,timeout,60000173,619904,519722
96,timeout,60000212,563072,505017
97,timeout,60000427,512896,413698
98,timeout,60000226,474548,467909
99,timeout,60000629,964532,737001
100,timeout,60000188,367272,319038
