test,result,time (μs),memory (kb),clauses
1,timeout,60000196,21040,2117
2,timeout,60000188,20788,2117
3,timeout,60000173,20288,2117
4,timeout,60000174,20420,2117
5,timeout,60000236,21300,2117
6,timeout,60000147,21544,2117
7,timeout,60000214,20952,2117
8,timeout,60000172,21080,2117
9,timeout,60000169,20772,2117
10,timeout,60000213,21192,2117
11,timeout,60000173,20268,2117
12,timeout,60000197,19076,2117
13,timeout,60000205,20272,2117
14,timeout,60000171,20532,2117
15,timeout,60000199,20168,2117
16,timeout,60000273,19200,2117
17,timeout,60000189,20528,2117
18,timeout,60000208,20420,2117
19,timeout,60000160,20732,2117
20,timeout,60000177,19784,2117
21,timeout,60000168,20912,2117
22,timeout,60000207,20292,2117
23,timeout,60000434,20140,2117
24,timeout,60000183,20456,2117
25,timeout,60000127,20392,2117
26,timeout,60000183,21292,2117
27,timeout,60000199,18888,2117
28,timeout,60000199,19272,2117
29,timeout,60000180,20696,2117
30,timeout,60000186,20680,2117
31,timeout,60000229,20664,2117
32,timeout,60000201,20244,2117
33,timeout,60000174,18892,2117
34,timeout,60000547,20248,2117
35,timeout,60000189,20144,2117
36,timeout,60000198,20804,2117
37,timeout,60000210,20788,2117
38,timeout,60000163,21364,2117
39,timeout,60000213,20388,2117
40,timeout,60000216,20100,2117
41,timeout,60000226,19928,2117
42,timeout,60000200,21168,2117
43,timeout,60000189,20424,2117
44,timeout,60000173,20936,2117
45,timeout,60000223,20396,2117
46,timeout,60000177,20388,2117
47,timeout,60000208,20272,2117
48,timeout,60000199,21164,2117
49,timeout,60000219,19792,2117
50,timeout,60000215,21028,2117
51,timeout,60000204,20656,2117
52,timeout,60000208,19528,2117
53,timeout,60000188,20660,2117
54,timeout,60000182,20440,2117
55,timeout,60000189,20400,2117
56,timeout,60000214,20848,2117
57,timeout,60000182,20440,2117
58,timeout,60000188,20296,2117
59,timeout,60000192,21168,2117
60,timeout,60000544,20284,2117
61,timeout,60000193,19736,2117
62,timeout,60000243,21592,2117
63,timeout,60000164,20136,2117
64,timeout,60000191,21536,2117
65,timeout,60000192,20520,2117
66,timeout,60000181,20040,2117
67,timeout,60000196,20684,2117
68,timeout,60000156,19968,2117
69,timeout,60000183,20972,2117
70,timeout,60000213,20148,2117
71,timeout,60000210,20424,2117
72,timeout,60000211,20784,2117
73,timeout,60000189,20144,2117
74,timeout,60000191,19532,2117
75,timeout,60000181,21516,2117
76,timeout,60000184,21008,2117
77,timeout,60000198,20156,2117
78,timeout,60000182,18992,2117
79,timeout,60000205,20904,2117
80,timeout,60000181,21160,2117
81,timeout,60000186,20016,2117
82,timeout,60000194,19360,2117
83,timeout,60000214,21300,2117
84,timeout,60000239,20160,2117
85,timeout,60000241,19992,2117
86,timeout,60000208,19912,2117
87,timeout,60000219,20232,2117
88,timeout,60000207,20392,2117
89,timeout,60000190,19184,2117
90,timeout,60000182,20284,2117
91,timeout,60000198,19784,2117
92,timeout,60000223,20040,2117
93,timeout,60000221,21308,2117
94,timeout,60000200,20348,2117
95,timeout,60000198,20612,2117
96,timeout,60000182,20896,2117
97,timeout,60000192,21300,2117
98,timeout,60000195,19656,2117
99,timeout,60000169,20908,2117
100,timeout,60000176,20400,2117
