test,result,time (μs),memory (kb),clauses
1,timeout,60000150,703164,538520
2,timeout,60000224,972552,720268
3,timeout,60000183,356028,302814
4,timeout,60000191,794300,545650
5,timeout,60000214,756412,560478
6,timeout,60000198,643272,477801
7,timeout,60000189,593292,422645
8,timeout,60000228,465340,316977
9,timeout,60000214,781964,590491
10,timeout,60000170,592396,502912
11,timeout,60000194,665164,513525
12,timeout,60000200,673468,480088
13,timeout,60000223,743484,519986
14,timeout,60000204,901436,682878
15,timeout,60000183,562492,418866
16,timeout,60000225,570828,441413
17,timeout,60000179,591116,424951
18,timeout,60000202,1043516,732000
19,timeout,60000181,874684,666967
20,timeout,60000169,812300,529388
21,timeout,60000185,734128,558102
22,timeout,60000202,764860,545253
23,timeout,60000189,787388,559822
24,timeout,60000194,517820,353202
25,timeout,60000209,986928,704584
26,timeout,60000188,544572,415998
27,timeout,60000183,724364,566517
28,timeout,60000203,451768,355672
29,timeout,60000229,723624,490699
30,timeout,60000194,835848,601563
31,timeout,60000397,424764,337113
32,timeout,60000198,1034892,776753
33,timeout,60000171,518076,365292
34,timeout,60000201,767292,516511
35,timeout,60000213,789948,536957
36,timeout,60000215,927924,659488
37,timeout,60000194,590908,463888
38,timeout,60000204,1016840,740707
39,timeout,60000213,726280,501419
40,timeout,60000200,427404,325829
41,timeout,60000241,935996,669834
42,timeout,60000256,719676,534033
43,timeout,60000241,807608,562178
44,timeout,60000186,662972,462963
45,timeout,60000185,749772,464449
46,timeout,60000208,672204,494595
47,timeout,60000182,783420,616707
48,timeout,60000219,547464,421584
49,timeout,60000195,869640,629788
50,timeout,60000195,497212,357352
51,timeout,60000216,491708,326245
52,timeout,60000205,436104,331867
53,timeout,60000226,537548,375234
54,timeout,60000228,522056,379773
55,timeout,60000171,971916,650491
56,timeout,60000191,831932,560128
57,timeout,60000232,585400,417988
58,timeout,60000178,539912,407229
59,timeout,60000206,844088,631883
60,timeout,60000169,648076,445657
61,timeout,60000219,816200,575662
62,timeout,60000426,617136,472013
63,timeout,60000249,678332,475284
64,timeout,60000194,566344,394813
65,timeout,60000191,485164,304293
66,timeout,60000206,438716,335106
67,timeout,60000178,513584,345821
68,timeout,60000159,484364,388452
69,timeout,60000356,710460,526587
70,timeout,60000164,802876,572067
71,timeout,60000198,640136,493812
72,timeout,60000209,604220,451670
73,timeout,60000163,729736,544990
74,timeout,60000183,563592,369244
75,timeout,60000174,641416,416156
76,timeout,60000196,697996,558377
77,timeout,60000191,566588,432087
78,timeout,60000167,804924,574325
79,timeout,60000179,747532,514004
80,timeout,60000161,570676,406202
81,timeout,60000211,744716,526404
82,timeout,60000194,842940,555685
83,timeout,60000224,755848,519840
84,timeout,60000235,861244,602865
85,timeout,60000169,1131184,780489
86,timeout,60000190,690876,491474
87,timeout,60000227,455996,345316
88,timeout,60000184,491788,339946
89,timeout,60000178,515512,341944
90,timeout,60000206,742572,528513
91,timeout,60000236,748088,557220
92,timeout,60000184,676744,462275
93,timeout,60000197,765192,513380
94,timeout,60000210,713480,502633
95,timeout,60000236,564364,379975
96,timeout,60000180,729480,514154
97,timeout,60000216,624648,419623
98,timeout,60000250,672176,479902
99,timeout,60000198,1130160,788347
100,timeout,60000217,1009596,766533
